Date,variable,value
14/03/20,Actual_R,55
15/03/20,Actual_R,57
16/03/20,Actual_R,84
17/03/20,Actual_R,91
18/03/20,Actual_R,133
19/03/20,Actual_R,157
20/03/20,Actual_R,247
21/03/20,Actual_R,317
22/03/20,Actual_R,360
23/03/20,Actual_R,389
24/03/20,Actual_R,3400
25/03/20,Actual_R,3753
26/03/20,Actual_R,5940
27/03/20,Actual_R,7000
28/03/20,Actual_R,8914
29/03/20,Actual_R,9744
30/03/20,Actual_R,14145
31/03/20,Actual_R,16875
01/04/20,Actual_R,19620
02/04/20,Actual_R,23547
03/04/20,Actual_R,25850
04/04/20,Actual_R,27844
05/04/20,Actual_R,30284
06/04/20,Actual_R,30510
07/04/20,Actual_R,38097
08/04/20,Actual_R,48649
09/04/20,Actual_R,55014
10/04/20,Actual_R,56680
11/04/20,Actual_R,60136
12/04/20,Actual_R,63322
13/04/20,Actual_R,67494
14/04/20,Actual_R,71494
15/04/20,Actual_R,76404
16/04/20,Actual_R,81052
17/04/20,Actual_R,87466
18/04/20,Actual_R,89859
19/04/20,Actual_R,92586
20/04/20,Actual_R,96362
21/04/20,Actual_R,100233
22/04/20,Actual_R,104679
23/04/20,Actual_R,108875
24/04/20,Actual_R,115560
25/04/20,Actual_R,115677
26/04/20,Actual_R,117976
27/04/20,Actual_R,120626
